iter	Passed	Remaining
0	68	54237
1	128	5102522	173	458013	202	39970
4	244	38619
55	288	379796	325	36628
77	390	3837988	426	3720599	453	3560110	488	34794
11	530	34595
12	572	34422
113	610	34058114	667	34707115	735	35811
16	761	34852
17	819	35364
18	850	34742
19	882	34214
20	934	34433
21	1017	35759
22	1053	35347
23	1104	35490
24	1150	35450
25	1199	35469
26	1255	35718
27	1288	35288
28	1311	34644
29	1353	34522
30	1391	34292
31	1437	34280
32	1485	34300
33	1534	34335
34	1566	34011
35	1615	34064
36	1652	33858
37	1664	33157
38	1720	33354
39	1758	33193
40	1798	33080
41	1839	32981
42	1882	32929
43	1975	33725
44	2018	33638
45	2068	33679
46	2101	33442
47	2187	34042
48	2225	33883
49	2263	33730
50	2322	33888
51	2359	33707
52	2389	33458
53	2432	33376
54	2460	33110
55	2501	33006
56	2554	33078
57	2591	32930
58	2623	32724
59	2671	32729
60	2729	32841
61	2793	33030
62	2831	32899
63	2867	32747
64	2898	32555
65	2928	32346
66	3011	32722
67	3045	32563
68	3083	32440
69	3138	32506
70	3168	32305
71	3199	32127
72	3235	32002
73	3269	31856
74	3316	31839
75	3335	31552
76	3373	31460
77	3409	31341
78	3447	31248
79	3486	31164
80	3537	31185
81	3586	31184
82	3630	31140
83	3666	31032
84	3717	31054
85	3771	31091
86	3810	31006
87	3868	31080
88	3907	30997
89	3971	31113
90	4003	30968
91	4021	30728
92	4063	30670
93	4090	30506
94	4138	30497
95	4197	30561
96	4253	30605
97	4276	30414
98	4336	30485
99	4373	30398
100	4416	30347
101	4466	30342
102	4504	30264
103	4549	30224
104	4593	30183
105	4663	30314
106	4702	30239
107	4760	30279
108	4809	30269
109	4845	30174
110	4880	30075
111	4915	29974
112	4963	29954
113	5025	30018
114	5055	29892
115	5091	29801
116	5101	29560
117	5144	29517
118	5177	29414
119	5208	29299
120	5237	29176
121	5278	29118
122	5317	29053
123	5392	29182
124	5447	29199
125	5479	29091
126	5542	29153
127	5572	29040
128	5623	29031
129	5665	28980
130	5701	28897
131	5738	28823
132	5788	28814
133	5827	28744
134	5860	28653
135	5902	28601
136	5922	28446
137	5948	283138138	5982	282139139	6034	28230
140	6090	28251
141	6150	28283
142	6192	28234
143	6240	28213
144	6311	28292
145	6349	28225
146	6379	28120
147	6473	28298
148	6520	28269
149	6575	28276
150	6618	28227
151	6661	28181
152	6701	28121
153	6758	28129
154	6800	28081
155	6844	28036
156	6869	27914
157	6902	27830
158	6938	27752
159	6959	27619
160	7034	27702
161	7090	27704
162	7112	27577
163	7152	27519
164	7192	27461
165	7252	27480
166	7298	27446
167	7306	27268
168	7329	27150
169	7367	27088
170	7380	269171171	7418	268172	7417	26670
173	7476	26682
174	7556	26770
175	7581	26663
176	7624	26621
177	7689	26654
178	7720	26569
179	7761	26517
180	7814	26507
181	7874	26520
182	7893	26397
183	7915	26284
184	7948	26208
185	7988	26154
186	8032	26117
187	8065	26041
188	8119	26032
189	8172	26021
190	8221	25997
191	8283	26014
192	8365	26093
193	8386	25981
194	8437	25960
195	8468	25880
196	8549	25953
197	8594	25914
198	8645	25892
199	8714	25925
200	8749	25857
201	8805	25849
202	8842	25786
203	8887	25748
204	8927	25694
205	8958	25615
206	8997	25557
207	9045	25528
208	9086	25477
209	9110	25379
210	9144	25309
211	9184	25256
212	9211	25169
213	9274	25179
214	9314	25128
215	9371	25122
216	9407	25058
217	9444	24998
218	9466	24898
219	9511	24860
220	9551	24809
221	9578	24723
222	9611	24654
223	9672	24655
224	9703	24583
225	9726	24488
226	9756	24412
227	9789	24344
228	9822	24277
229	9850	24198
230	9897	24165
231	9937	24115
232	9980	24072
233	10003	23983
234	10040	23926
235	10086	23891
236	10112	23809
23237	10184	238323238	10256	23860
239	10327	23881
240	10370	23839
241	10395	23754
242	10436	237024243	10488	23685
244	10527	236324245	10576	236024246	10630	23584
247	10674	23545
248	10802	23687
249	10836	23624
250	10896	23617
251	10935	23563
252	10965	23491
253	10995	23418
254	11032	23363
255	11048	23261
256	11103	23244
257	11160	23228
258	11192	23163
259	11212	23071
260	11256	23031
261	11299	22987
262	11345	22950
263	11370	22870
264	11412	22825
265	11463	22798
266	11512	22766
267	11543	22700
268	11587	22657
269	11630	22615
270	11682	22588
271	11731	22557
272	11765	22497
273	11796	22431
274	11846	22400
275	11873	22327
276	11912	22277
277	11977	22275
278	12025	22240
279	12064	22189
280	12105	22143
281	12158	22118
282	12194	220628283	12230	22006
284	12253	2192285	12237	21778
28286	12320	218028287	12387	218028288	12446	217928289	12487	21745
290	12524	21691
291	12550	21619
292	12613	21610
293	12647	21552
294	12683	21496
295	12749	21493
296	12781	21431
297	12832	21401
298	12870	21350
299	12903	21291
300	12934	21228
301	12977	211830302	13017	211330303	13048	210730304	13092	210330305	13136	209930306	13171	2093307	13163	20814
308	13197	20757
309	13242	20717
310	13262	20640
31311	13367	206931312	13458	207231313	13521	20712
314	13560	20664
315	13583	205931316	13612	205231317	13648	204731318	13723	20477
319	13742	203932320	13791	203632321	13826	203132322	13870	2026323	13858	20145
324	13915	20123
325	13951	20070
326	14001	20038
327	14050	20004
328	14088	19954
329	14122	19900
330	14174	19870
331	14231	19846
332	14266	19793
333	14344	19798
334	14377	19741
335	14407	19681
336	14467	19661
337	14495	19598
338	14528	19542
339	14574	19503
340	14634	19484
341	14686	19453
342	14723	19401
343	14777	19374
344	14824	19336
345	14877	19306
346	14951	19303
347	14980	19242
348	15032	19210
349	15066	19156
350	15111	19115
351	15134	19046
352	15165	18988
353	15201	18937
354	15230	18877
355	15275	18837
356	15317	18792
357	15378	18771
358	15430	18740
359	15467	18689
360	15498	18633
361	15569	18623
362	15624	18594
363	15670	18554
364	15705	18502
365	15743	18452
366	15777	18399
367	15816	18352
368	15884	18338
369	15935	18304
370	16022	18311
371	16066	18269
372	16090	18203
373	16136	18164
374	16187	18129
375	16226	18081
376	16308	18081
377	16363	18051
378	16419	18022
379	16493	18012
380	16566	18001
381	16596	17943
382	16644	17904
383	16700	17874
384	16756	17844
385	16814	17816
386	16856	17771
387	16891	17719
388	16913	17653
389	16956	17608
390	16990	17555
391	17034	17512
392	17066	17457
393	17102	17406
394	17155	17372
395	17194	17324
396	17255	17299
397	17324	17280
398	17370	17239
399	17437	17219
400	17470	17165
401	17509	17117
402	17564	17084
403	17633	17066
404	17690	17035
405	17741	16998
406	17782	16952
407	17814	16897
408	17866	16861
409	17908	16816
410	17940	16761
411	17970	16705
412	18009	16657
413	18034	16597
414	18070	16546
415	18127	16515
416	18168	16469
417	18202	16417
418	18244	16372
419	18281	16322
420	18306	16263
421	18330	16202
422	18362	16148
423	18406	16105
424	18465	16075
425	18516	16038
426	18590	16021
427	18618	15965
428	18636	15900
429	18684	15860
430	18717	15807
431	18756	15760
432	18789	15708
433	18847	15677
434	18879	15624
435	18915	15574
436	18967	15538
437	19004	15489
438	19034	15436
439	19061	15378
440	19143	15366
441	19198	15332
442	19229	15279
443	19286	15246
444	19341	15212
445	19380	15165
446	19419	15118
447	19452	15067
448	19499	15026
449	19540	14981
450	19605	14954
451	19635	14900
452	19678	14856
453	19717	14809
454	19774	14776
455	19814	14730
456	19857	14686
457	19897	14640
458	19920	14582
459	19976	14548
460	20025	14508
461	20064	14462
462	20099	14412
463	20137	14365
464	20178	14320
465	20220	14276
466	20267	14234
467	20353	14221
468	20380	14166
469	20423	14122
470	20476	14085
471	20508	14034
472	20545	13986
473	20624	13967
474	20643	13906
475	20677	13857
476	20725	13816
477	20754	13763
478	20848	13753
479	20905	13719
480	20944	13672
481	20987	13629
482	21023	13580
483	21060	13532
484	21090	13480
485	21152	13449
486	21190	13401
487	21222	13351
488	21258	13302
489	21282	13247
490	21319	13199
491	21351	13149
492	21405	13112
493	21432	13059
494	21466	13009
495	21498	12959
496	21569	12932
497	21590	12876
498	21652	12844
499	21721	12815
500	21772	12776
501	21804	12726
502	21819	12666
503	21856	12619
504	21912	12583
505	21948	12535
506	22002	12498
507	22058	12461
508	22093	12414
509	22116	12359
510	22187	12331
511	22233	12289
512	22285	12250
513	22336	12211
514	22372	12163
515	22404	12113
516	22448	12070
517	22496	12029
518	22551	11992
519	22618	11961
520	22649	11911
521	22691	11867
522	22743	11828
523	22810	11797
524	22839	11745
525	22872	11697
526	22924	11658
527	22950	11605
528	23007	11568
529	23040	11520
530	23079	11474
531	23131	11435
532	23167	11388
533	23199	11339
534	23245	11296
535	23281	11249
536	23323	11205
537	23378	11167
538	23432	11129
539	23460	11078
540	23486	11027
541	23533	10985
542	23572	10939
543	23626	10901
544	23681	10863
545	23711	10813
546	23764	10774
547	23797	10726
548	23847	10685
549	23911	10651
550	23968	10614
551	24013	10571
552	24054	10526
553	24098	10483
554	24144	10440
555	24171	10390
556	24238	10356
557	24284	10314
558	24313	10264
559	24344	10216
560	24382	10170
561	24410	10120
562	24444	10072
563	24476	10025
564	24521	9982
565	24594	9950
566	24639	9907
567	24726	9881
568	24765	9836
569	24832	9802
570	24867	9755
571	24890	9703
572	24920	9655
573	24973	9615
574	25008	9568
575	25041	9520
576	25081	9476
577	25127	9433
578	25168	9389
579	25191	9338
580	25236	9295
581	25261	9245
582	25287	9195
583	25349	9158
584	25399	9117
585	25438	9072
586	25491	9032
587	25537	8990
588	25575	8944
589	25601	8895
590	25641	8850
591	25681	8806
592	25744	8769
593	25790	8727
594	25861	8693
595	25911	8651
596	25957	8608
597	25997	8564
598	26031	8517
599	26084	8477
600	26105	8426
601	26144	8381
602	26226	8350
603	26245	8299
604	26279	8253
605	26319	8208
606	26365	8166
607	26391	8117
608	26440	8075
609	26488	8033
610	26514	7984
611	26575	7946
612	26607	7899
613	26712	7874
614	26746	7828
615	26770	7779
616	26817	7736
617	26850	7690
618	26895	7647
619	26944	7605
620	26995	7563
621	27070	7529
622	27097	7481
623	27149	7440
624	27216	7402
625	27245	7355
626	27302	7315
627	27333	7268
628	27377	7225
629	27429	7183
630	27475	7140
631	27552	7106
632	27574	7057
633	27622	7014
634	27652	6967
635	27685	6921
636	27728	6877
637	27765	6832
638	27806	6788
639	27849	6744
640	27886	6699
641	27925	6655
642	27971	6612
643	28011	6567
644	28058	6525
645	28116	6484
646	28152	6439
647	28192	6395
648	28254	6356
649	28278	6308
650	28319	6264
651	28370	6222
652	28433	6183
653	28471	6138
654	28505	6092
655	28562	6052
656	28600	6007
657	28659	5967
658	28719	5927
659	28759	5882
660	28807	5839
661	28883	5802
662	28915	5756
663	28960	5713
664	29011	5671
665	29043	5625
666	29080	5580
667	29128	5537
668	29152	5490
669	29172	5442
670	29215	5398
671	29270	5357
672	29316	5314
673	29361	5271
674	29422	5230
675	29503	5193
676	29520	5145
677	29558	5100
678	29585	5054
679	29623	5009
680	29659	4964
681	29685	4918
682	29730	4875
683	29785	4833
684	29818	4788
685	29877	4747
686	29918	4703
687	29974	4661
688	30007	4616
689	30083	4577
690	29743	4476
691	29770	4431
692	29792	4385
693	29838	4342
694	29861	4296
695	29913	4254
696	29949	4211
697	29974	4165
699	29952	4064
700	29997	4022
700	30084	4034
02	29464	3855
703	29509	3814
704	29560	3773
705	29607	3732
706	29639	3689
707	29667	3645
708	29701	3602
709	29785	3565
710	29829	3524
711	29869	3481
712	29942	3443
713	29972	3400
714	30008	3357
715	30033	3313
716	30050	3269
